Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,address
Atrium Lofts,East Boston,2128.0,218,0,218,186.0,0.0,186.0,32,0,32.0,Ownership ,Private,,,"156 Porter St, Boston, MA 02128, United States"
Audubon Apts,Mattapan,2126.0,37,37,0,5.0,5.0,0.0,32,32,0.0,Rental,Private,,,"16 Miner St UNIT 206, Boston, MA 02215, United States"
Ausonia (2-61),North End,2109.0,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Public,Y,,
Ava Theater District,Downtown,2116.0,398,398,0,358.0,358.0,0.0,40,40,0.0,Rental,Private,,,"45 Stuart St, Boston, MA 02116, United States"
Avalon at North Station,West End,2114.0,503,503,0,473.0,473.0,0.0,30,30,0.0,Rental,Private,,,"1 Nashua St, Boston, MA 02114, United States"
Avalon at Prudential Center,Back Bay,2116.0,188,188,0,182.0,182.0,0.0,6,6,0.0,Rental,Private,,,"780 Boylston St, Boston, MA 02199, United States"
Avana Lofts,Chinatown,2111.0,32,32,0,29.0,29.0,0.0,3,3,0.0,Rental,Private,,,"42 Beach St, Boston, MA 02111, United States"
Avenir Development,West End,2114.0,241,241,0,224.0,224.0,0.0,17,17,0.0,Rental,Private,,,"101 Canal St, Boston, MA 02114, United States"
Avondale Place,Mission Hill,2115.0,22,22,0,0.0,0.0,0.0,22,22,0.0,Rental,Private,,,"Avondale St, Boston, MA 02124, USA"
Babcock Tower,Allston,2134.0,213,213,0,53.0,53.0,0.0,160,160,0.0,Rental,Private,,Y,"270 Babcock St, Boston, MA 02215, United States"
Back of the Hill 202,Mission Hill,2130.0,125,125,0,0.0,0.0,0.0,125,125,0.0,Rental,Private,Y,Y,"100 S Huntington Ave, Jamaica Plain, MA 02130, United States"
Back of the Hill HOP,Mission Hill,2120.0,149,0,149,58.0,0.0,58.0,91,0,91.0,Ownership,Private,,,"100 S Huntington Ave, Boston, MA 02130, United States"
Bailey (VUP),Roxbury,2121.0,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,
Baker Square Condominium,Mattapan,2124.0,60,60,0,52.0,52.0,0.0,8,8,0.0,Rental,Private,,,"1243 Adams St, Boston, MA 02124, United States"
Balina Place at Norfolk St/Habitat,Dorchester,2124.0,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,"434 Massachusetts Ave Suite 201, Boston, MA 02118, United States"
Bancroft Apts,Jamaica Plain,2119.0,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,Y,"13 Shetland St, Boston, MA 02119, United States"
Baptista (VUP),Dorchester,2125.0,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,
Barlett Square,Jamaica Plain,2130.0,13,0,13,11.0,0.0,11.0,2,0,2.0,Ownership,Private,,,"154 Green St, Boston, MA 02130, United States"
Barnes School 202,East Boston,2128.0,74,74,0,0.0,0.0,0.0,74,74,0.0,Rental,Private,Y,,"Boston, MA 02128, United States"
Bartlett Place Building E,Roxbury,2119.0,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,,"2565 Washington St, Boston, MA 02119, United States"
Bartlett Place/Building B,Roxbury,2119.0,60,0,60,22.0,22.0,0.0,38,38,0.0,Rental,Private,,,"2565 Washington St, Boston, MA 02119, United States"
Basilica (667-6),Charlestown,2129.0,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Public,Y,,"106 13th St #110, Boston, MA 02129, United States"
Bates School/Artblock 731,South End,2118.0,54,0,54,30.0,0.0,30.0,24,0,24.0,Ownership,Private,,,"731 Harrison Ave, Boston, MA 02118, United States"
Bay Cove Group Homes I,Roslindale,2131.0,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,Y,"39 Glencliff Rd, Boston, MA 02131, United States"
Bay Cove Group Homes III,South Boston,2127.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,Y,"66 Canal St, Boston, MA 02114, United States"
Bay Cove Group Homes IV,Dorchester,2125.0,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,,"44 Fairmount St, Boston, MA 02124, United States"
Bay Cove Hyde Park,Roslindale,2131.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,"39 Glencliff Rd, Boston, MA 02131, United States"
BCN Properties,Roxbury,2119.0,53,53,0,0.0,0.0,0.0,53,53,0.0,Rental,Private,,Y,"30 Bower St, Boston, MA 02119, United States"
Beacon House,Beacon Hill,2114.0,135,135,0,50.0,50.0,0.0,85,85,0.0,Rental,Private,Y,Y,"19 Myrtle St #208, Boston, MA 02114, United States"
Beasley (VUP),Dorchester,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Belgrade Place,West Roxbury,2132.0,39,39,0,34.0,0.0,34.0,5,5,0.0,Rental,Private,,,"446 Belgrade Ave, West Roxbury, MA 02132, United States"
Bellflower (2-77),Dorchester,2125.0,114,114,0,0.0,0.0,0.0,114,114,0.0,Rental,Public,Y,,"2 Bellflower St, Boston, MA 02125, USA"
"Berkeley Investments, Inc.",South Boston Waterfront,2127.0,88,0,88,80.0,0.0,80.0,8,0,8.0,Ownership,Private,,,"125 High St #531, Boston, MA 02110, United States"
Beryl Gardens,Roxbury,2119.0,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,"Beryl St, Boston, MA 02131, USA"
BHA Infill 1A - Quincy Geneva,Roxbury,2121.0,18,0,18,0.0,0.0,0.0,18,0,18.0,Ownership,Private,,,
BHA Infill 1B - Codman Square NDC,Dorchester,2124.0,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,,"587 Washington St, Dorchester Center, MA 02124, United States"
BHA Infill 2 - Urban Edge,Roxbury,2119.0,15,5,10,0.0,0.0,0.0,15,5,10.0,Ownership/Rental,Private,,,
BHA Infill 3 - Nuestra,Roxbury,2119.0,10,4,6,0.0,0.0,0.0,10,4,6.0,Ownership/Rental,Private,,,"129 Amory St, Roxbury, MA 02119, United States"
BHP Codman Square,Dorchester,2124.0,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,,,"637 Washington St, Boston, MA 02124, United States"
BHP Fields Corner,Dorchester,2122.0,77,77,0,0.0,0.0,0.0,77,77,0.0,Rental,Private,,Y,"50 Freeman St, Dorchester, MA 02122, United States"
BHP Frawley-Delle,Mission Hill,2115.0,74,74,0,0.0,0.0,0.0,74,74,0.0,Rental,Private,,Y,"706 Huntington Ave, Boston, MA 02115, United States"
BHP Hano Street,Allston,2134.0,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,Section 8 or MRVP,"100-102 Hano St, Boston, MA 02134, United States"
BHP Lena Park,Dorchester,2121.0,93,93,0,0.0,0.0,0.0,93,93,0.0,Rental,Private,,,"150 American Legion Hwy, Dorchester, MA 02124, United States"
BHP Quincy-Geneva,Roxbury,2121.0,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,,Y,"320 Blue Hill Avenue # B, Boston, MA 02121, United States"
BHP Washington Park,Jamaica Plain,2119.0,96,96,0,0.0,0.0,0.0,96,96,0.0,Rental,Private,,,"330 M.L.K. Jr Blvd, Boston, MA 02119, United States"
BHP Westland Ave,Fenway,2115.0,20,20,0,5.0,5.0,0.0,15,15,0.0,Rental,Private,,,"10 Westland Ave, Boston, MA 02115, United States"
Bickford (2-25),Jamaica Plain,2130.0,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Public,Y,,
Bird St. Estates,Roxbury,2125.0,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,,"500 Columbia Rd, Dorchester, MA 02125, United States"
Blackstone Apts,West End,2114.0,145,145,0,0.0,0.0,0.0,145,145,0.0,Rental,Private,Y,Y,"33 Blossom St, Boston, MA 02114, United States"
Blake Estates I,Hyde Park,2136.0,175,175,0,0.0,0.0,0.0,175,175,0.0,Rental,Private,Y,Y,"1344 Hyde Park Ave, Hyde Park, MA 02136, United States"
Blake Estates II,Hyde Park,2136.0,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,Y,Y,"1344 Hyde Park Ave, Hyde Park, MA 02136, United States"
Blandino Farms,Dorchester,2124.0,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,,
Blessed Sacrament Mixed-Use (Rental + SRO),Jamaica Plain,2130.0,65,65,0,0.0,0.0,0.0,65,65,0.0,Rental,Private,,,"31 Germania Street, Building A, Jamaica Plain, MA 02130, United States"
Bloomfield Gardens,Dorchester,2124.0,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,,"Bloomfield St, Boston, MA 02124, USA"
Blue Hill Commons,Roxbury,2119.0,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,,"Blue Hill Commons Condominiums, 3000 Davenport Ave, Canton, MA 02021, USA"
Blue Mountain Assoc.,Roxbury,2121.0,217,217,0,0.0,0.0,0.0,217,217,0.0,Rental,Private,,Y,"457 Blue Hill Avenue, Boston, MA 02126, United States"
Border Falcon Condominiums,East Boston,2128.0,14,0,14,0.0,0.0,0.0,14,0,14.0,Ownership,Private,,,"301 Border St, Boston, MA 02128, United States"
Boston East,East Boston,2128.0,200,200,0,174.0,174.0,0.0,26,26,0.0,Rental,Private,,,"126 Border St, Boston, MA 02128, United States"
Boston Kenmore Realty LLC,Leather District,2111.0,54,0,54,49.0,0.0,49.0,5,0,5.0,Ownership,Private,,,"151 Tremont St, Boston, MA 02111, United States"
Boston Landing,Brighton,2135.0,295,295,0,257.0,257.0,0.0,38,38,0.0,Rental,Private,,,"Boston, MA 02135, United States"
Boston Rehab,Fenway,2115.0,144,144,0,0.0,0.0,0.0,144,144,0.0,Rental,Private,Y,Y,"300 Longwood Ave, Boston, MA 02115, United States"
Boston Trailer Park Tenants,West Roxbury,2132.0,104,104,0,26.0,26.0,0.0,78,78,0.0,Rental,Private,,,"1515 VFW Pkwy, West Roxbury, MA 02132, United States"
Boston Wharf Tower,South Boston Waterfront,2127.0,202,202,0,180.0,180.0,0.0,22,22,0.0,Rental,Private,,,"1410 Columbia Rd, South Boston, MA 02127, United States"
Boston's Hope in Dorchester,Dorchester,2124.0,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,Y,,"71 Kingsdale St, Dorchester Center, MA 02124, United States"
Bowditch School Lodging House,Jamaica Plain,2130.0,46,46,0,0.0,0.0,0.0,46,46,0.0,Rental,Private,,,
Bowdoin Geneva Phase III (HOME AGAIN),Dorchester,2122.0,20,2,18,0.0,0.0,0.0,20,2,18.0,Ownership/Rental,Private,,,"200 Bowdoin St, Dorchester, MA 02122, United States"
Bowdoin Place,Downtown,2114.0,75,0,75,56.0,0.0,56.0,19,0,19.0,Ownership,Private,Y,,"Bowdoin St, Boston, MA 02114, USA"
Bowdoin School,Beacon Hill,2114.0,35,35,0,0.0,0.0,0.0,35,35,0.0,Rental,Private,Y,Y,"45 Myrtle St, Boston, MA 02114, United States"
Bowdoin/Geneva - HOME AGAIN,Dorchester,2125.0,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,,
Bowdoin/Geneva (Phase II),Dorchester,2125.0,10,5,5,2.0,1.0,1.0,8,4,4.0,Ownership/Rental,Private,,,"200 Bowdoin St, Dorchester, MA 02122, United States"
Bowdoin-Geneva & Dudley FTHB,Dorchester,2125.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"200 Bowdoin St, Dorchester, MA 02122, United States"
Bowdoin-Geneva & Dudley Rental,Roxbury,2119.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"200 Bowdoin St, Dorchester, MA 02122, United States"
Bowen (VUP),Dorchester,2124.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"22 Boston Wharf Rd, Boston, MA 02210, United States"
Boylston St Mixed Use,Back Bay,2116.0,85,85,0,75.0,75.0,0.0,10,10,0.0,Rental,Private,,,"Boylston St, Boston, MA 02116, USA"
Boylston West (Fenway Triangle Mixed Use),Fenway,2215.0,172,172,0,159.0,159.0,0.0,13,13,0.0,Rental,Private,,,"180 Brookline Ave, Boston, MA 02215, United States"
Bradford Estates,Dorchester,2124.0,24,0,24,0.0,0.0,0.0,24,0,24.0,Ownership,Private,,,
Bradlee-Fowler,Dorchester,2124.0,3,1,2,0.0,0.0,0.0,3,1,2.0,Ownership/Rental,Private,,,"Bradlee St, Boston, MA 02124, USA"
Bradley Properties,South End,2118.0,70,70,0,0.0,0.0,0.0,70,70,0.0,Rental,Private,,Y,"340 Shawmut Ave, Boston, MA 02118, United States"
Brandywyne Village,East Boston,2128.0,402,402,0,136.0,136.0,0.0,266,266,0.0,Rental,Private,,Y,"88 Brandywyne Dr, East Boston, MA 02128, United States"
Brantley (VUP),Mattapan,2126.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Braxton (VUP),Dorchester,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Brewery Lofts,Mission Hill,2130.0,79,0,79,71.0,0.0,71.0,8,0,8.0,Ownership,Private,,,"251 Heath St, Jamaica Plain, MA 02130, United States"
BRIAN J HONAN APARTMENTS,Allston,2134.0,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,,"57 Everett St N, Allston, MA 02134, United States"
Brighton Gardens,Brighton,2135.0,62,62,0,49.0,49.0,0.0,13,13,0.0,Rental,Private,Y,,"Brighton Ave, Boston, MA, USA"
Brighton-Allston Apts,Allston,2134.0,62,62,0,0.0,0.0,0.0,62,62,0.0,Rental,Private,Y,,"57 Everett St N, Allston, MA 02134, United States"
Brighton-Allston Elderly,Brighton,2134.0,80,80,0,1.0,1.0,0.0,79,79,0.0,Rental,Private,Y,Y,"210 Everett St, Allston, MA 02134, United States"
"Bromley Park (2-19, -75, -101)",Jamaica Plain,2130.0,779,779,0,0.0,0.0,0.0,779,779,0.0,Rental,Public,Y,,
Brook Avenue Cooperative,Roxbury,2119.0,36,36,0,0.0,0.0,0.0,36,36,0.0,Cooperative,Private,,,"147 Moreland St, Roxbury, MA 02119, United States"
"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",Roxbury,2125.0,18,1,17,0.0,0.0,0.0,18,1,17.0,Ownership/Rental,Private,,,
Brookside Artists Housing,Jamaica Plain,2130.0,21,0,21,3.0,0.0,3.0,18,0,18.0,Ownership,Private,,,"Brookside Ave, Boston, MA 02130, USA"
Brookview House,Dorchester,2124.0,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"2 Brookview St #1, Dorchester Center, MA 02124, United States"
Brookview House II,Dorchester,2124.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,"2 Brookview St #1, Dorchester Center, MA 02124, United States"
Brookview House III,Dorchester,2124.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,"2 Brookview St #1, Dorchester Center, MA 02124, United States"
Brown (VUP),Dorchester,2121.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,
"Brown, J & D (VUP)",Roxbury,2121.0,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,
Brown-Kaplan Townhomes,Dorchester,2124.0,60,60,0,0.0,0.0,0.0,53,53,0.0,Rental,Private,,Y,"754 Blue Hill Avenue, Dorchester, MA 02121, United States"
Brownstone Apartments,South End,2118.0,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,,Y,"163 W Springfield St # A, Boston, MA 02118, United States"
Brunswick Street,Dorchester,2121.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Brunswick St, Boston, MA 02121, USA"
Brush Hill Commons,Jamaica Plain,2130.0,14,0,14,8.0,0.0,8.0,6,0,6.0,Ownership,Private,,,"Brush Hill Rd, Milton, MA, USA"
Buckminster Hotel,Fenway,2215.0,18,18,0,16.0,16.0,0.0,2,2,0.0,Rental,Private,,,"645 Beacon St, Boston, MA 02215, United States"
Buildable Lots - Codman Square,Dorchester,0.0,6,0,6,1.0,0.0,1.0,5,0,5.0,Ownership,Private,,,"587 Washington St, Dorchester Center, MA 02124, United States"
Buildable Lots - Ferndale,Dorchester,2124.0,12,0,12,3.0,0.0,3.0,9,0,9.0,Ownership,Private,,,"2273 Dorchester Ave, Boston, MA 02124, United States"
Buildable Lots - Uphams,Dorchester,0.0,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,,"530 Columbia Rd, Boston, MA 02125, United States"
Buildable Lots- 1&2,Dorchester,2124.0,15,0,15,6.0,0.0,6.0,9,0,9.0,Ownership,Private,,,
Buildable Lots- 3&4,Dorchester,0.0,18,0,18,8.0,0.0,8.0,10,0,10.0,Ownership,Private,,,"9820 62nd Dr, Flushing, NY 11374, United States"
Buildable Lots- 5,Dorchester,2124.0,9,0,9,0.0,0.0,0.0,9,0,9.0,Ownership,Private,,,"450 Washington St, Boston, MA 02124, United States"
Buildable Lots- 6,Mattapan,2126.0,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,,
Building 104,Charlestown,2129.0,46,46,0,0.0,0.0,0.0,46,46,0.0,Rental,Private,,,"570 Rutherford Ave, Charlestown, MA 02129, United States"
Builduing 33 at Navy Yard,Charlestown,2129.0,47,47,0,41.0,41.0,0.0,6,6,0.0,Rental,Private,,,"33 3rd Ave, Boston, MA 02129, United States"
Burbank Gardens,Fenway,2115.0,52,52,0,0.0,0.0,0.0,52,52,0.0,Rental,Private,,Y,"Burbank St, Boston, MA 02115, USA"
Burton Apts (18u),Roxbury,2120.0,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,Y,"1575 Tremont St #1107, Boston, MA 02120, United States"
Burton-Dudley,Roxbury,2119.0,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,"337 Newbury St, Boston, MA 02115, United States"
Call Carolina Homes,Jamaica Plain,2130.0,8,0,8,0.0,0.0,0.0,8,0,8.0,Ownership,Private,,,"31 Germania Street, Building A, Jamaica Plain, MA 02130, United States"
Callender|Floyd|Stratton NHI 1,Dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Floyd|Stratton NHI 2,Dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Floyd|Stratton NHI 3,Dorchester,2124.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Floyd|Stratton NHI 4,Mattapan,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
Callender|Floyd|Stratton NHI 5,Mattapan,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Floyd|Stratton NHI 6,Dorchester,2124.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Floyd|Stratton NHI 7,Dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Floyd|Stratton NHI 8,Mattapan,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Floyd|Stratton NHI 9,Dorchester,2124.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Tucker NHI 1,Dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Tucker NHI 2,Dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Tucker NHI 3,Dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Tucker NHI 4,Dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,
Camden Street (200-2),Roxbury,2118.0,72,72,0,0.0,0.0,0.0,72,72,0.0,Rental,Public,,,"200 Camden St, Boston, MA 02118, USA"
Camfield Gardens,Roxbury,2118.0,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Private,,Y,"The Paulette K Ford Community Center 85 Lenox Street Paulette, Ford Way, Boston, MA 02118, United States"
Capen Green,Dorchester,2124.0,18,0,18,0.0,0.0,0.0,18,0,18.0,Ownership,Private,,,"Capen St, Boston, MA 02124, USA"
Cardella (VUP),South Boston,2127.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
Cardinal Medeiros Manor,Roxbury,2125.0,54,54,0,0.0,0.0,0.0,54,54,0.0,Rental,Private,Y,Y,"11 Woodcliff St, Boston, MA 02125, United States"
Caritas Centre St,Dorchester,2122.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,"289 Centre St, Dorchester, MA 02122, United States"
Caritas Centre St. II,Dorchester,2124.0,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,,"289 Centre St, Dorchester, MA 02122, United States"
Caritas SRO Refinance,Dorchester,2125.0,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,,"28 Mt Pleasant Ave, Boston, MA 02119, United States"
Carlton House AKA: Forward Inc. rental,Jamaica Plain,2119.0,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,,,"2055 Columbus Ave, Roxbury, MA 02119, United States"
Carlton Wharf,East Boston,2128.0,30,0,30,0.0,0.0,0.0,30,0,30.0,Ownership,Private,,,"256 Marginal St, Boston, MA 02128, United States"
Carol Ave. Limited Coop,Brighton,2135.0,33,33,0,9.0,9.0,0.0,24,24,0.0,Rental,Private,,,"Carol Ave, Boston, MA 02135, USA"
Carroll (VUP),Roxbury,2125.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"45 Francis St, Boston, MA 02115, United States"
Carvalho (VUP),Dorchester,2122.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"543 Southern Artery, Quincy, MA 02169, United States"
Cary Cottage,Roxbury,2119.0,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,,"34 Parker St, Chelsea, MA 02150, United States"
Casa Familias Unidas,Roxbury,2119.0,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,"302 Eustis St, Boston, MA 02119, United States"
Casa Maria,North End,2113.0,84,84,0,0.0,0.0,0.0,84,84,0.0,Rental,Private,Y,Y,"130 Endicott St, Boston, MA 02113, United States"
