,Neighborhood,Building Address,For Current Vacancies and More Information,Number of Units Tracked,Bedroom Sizes,AMI Categories,match,address_candidates
24,Charlestown,"Mezzo Design Lofts
30 Caldwell Street",Lincoln Property Company: 617.242.0999,15.0,"Studio, 1BR, 2BR, 3BR",70%,MEZZO DESIGN LOFTS 30 CALDWELL STREET CHARLESTOWN,"['30 Caldwell St, Charlestown, MA 02129, United States']"
25,Charlestown,The Graphic,"        
Lincoln Properties: 617-580-2412",23.0,"Micro, Studio, 1BR, 2BR, 3BR",70%,THE GRAPHIC CHARLESTOWN,"['32 Cambridge St, Charlestown, MA 02129, United States']"
26,Charlestown,"The Harvey 
480 Rutherford Avenue                                                                                                                     ",480Rutherford@maloneyproperties.com,23.0,"Studio, 1BR, 2BR",70%,THE HARVEY  480 RUTHERFORD AVENUE                                                                                                                      CHARLESTOWN,"['50 Hood Park Dr, Boston, MA 02129, United States']"
27,Dorchester,5-11 Woodworth Street,"Maloney Properties: 617.209.5406
Woodworth@maloneyproperties.com",,,,5-11 WOODWORTH STREET DORCHESTER,"['5 Woodworth St #11, Boston, MA 02122, USA']"
28,Dorchester,8 Banton Street,BantonStreet@maloneyproperties.com,2.0,2BR,70%,8 BANTON STREET DORCHESTER,"['8 Banton St, Boston, MA 02124, USA']"
29,Dorchester,11 Minot Street,367Neponset@maloneyproperties.com,3.0,"1BR, 2BR",70%,11 MINOT STREET DORCHESTER,"['11 Minot St, Dorchester, MA 02122, USA']"
30,Dorchester,1943 Dorchester Avenue,Corcoran Management: 781-789-8427,8.0,"Studio, 1BR, 2BR",70%,1943 DORCHESTER AVENUE DORCHESTER,"['1943 Dorchester Ave, Dorchester Center, MA 02124, USA']"
31,Dorchester,"Hub 25
25-35 Morrissey Boulevard",Gables Residential: 617.825.2614,36.0,"Studio, 1BR, 2BR, 3BR",70%,HUB 25 25-35 MORRISSEY BOULEVARD DORCHESTER,"['25 Morrissey Blvd, Boston, MA 02125, United States']"
32,Dorchester,"The Peninsula Apartments
401 Mount Vernon Street",National Development: 617.436.0005,22.0,"1BR, 2BR, 3BR",75%,THE PENINSULA APARTMENTS 401 MOUNT VERNON STREET DORCHESTER,"['401 Mt Vernon St, Boston, MA 02125, United States']"
33,Dorchester,"Schoolhouse @ Lower Mills
40 River Street",Stephanie A. Lee: 857.598.4807,6.0,"1BR, 2BR",70%,SCHOOLHOUSE @ LOWER MILLS 40 RIVER STREET DORCHESTER,"['40 River St, Boston, MA 02126, United States']"
34,Dorchester,"Studios at St. Peter's
307 Bowdoin Street",Pine Street Inn: 617.892.8714,4.0,Studio,70%,STUDIOS AT ST. PETER'S 307 BOWDOIN STREET DORCHESTER,"['311 Bowdoin St, Boston, MA 02122, United States']"
35,Downtown,32 & 40 Boylston Street,The Hamilton Company: 617.426.3060,3.0,1BR,"80%, 120%",32 & 40 BOYLSTON STREET DOWNTOWN,"['32 Yarmouth St, Boston, MA 02116, United States']"
36,Downtown,"Archstone Boston Common
660 Washington Street",Equity Residential: 617.350.5501,46.0,"Studio, 1BR, 2BR, 3BR",80-120%,ARCHSTONE BOSTON COMMON 660 WASHINGTON STREET DOWNTOWN,"['660 Washington St, Boston, MA 02111, United States']"
37,Downtown,"Atlantic Wharf
530 Atlantic Avenue",Greystar: 617.261.1900,5.0,"Studio, 1BR, 2BR",80-100%,ATLANTIC WHARF 530 ATLANTIC AVENUE DOWNTOWN,"['530 Atlantic Ave, Boston, MA 02210, United States']"
38,Downtown,"AVA Theater District
45 Stuart Street",Avalon Communities: 857.350.4949,40.0,"Studio, 1BR, 2BR",80%,AVA THEATER DISTRICT 45 STUART STREET DOWNTOWN,"['45 Stuart St, Boston, MA 02116, United States']"
39,Downtown,"One Canal
1 Canal Street","Maloney Properties: 617.209.5406
Canal@maloneyproperties.com",20.0,"Studio, 1BR, 2BR, 3BR",70%,ONE CANAL 1 CANAL STREET DOWNTOWN,"['1 Canal St, Boston, MA 02114, United States']"
40,Downtown,"Liberty Tree Lofts
630 Washington Street","	
LibertyTreeLofts@maloneyproperties.com",,studio,70%,LIBERTY TREE LOFTS 630 WASHINGTON STREET DOWNTOWN,"['2 Boylston St, Boston, MA 02116, United States']"
41,Downtown,"Radian
120 Kingston Street",Forest City Enterprises: 617.210.4743,5.0,"Studio, 1BR",70%,RADIAN 120 KINGSTON STREET DOWNTOWN,"['120 Kingston St, Boston, MA 02111, United States']"
42,Downtown,The Sudbury,Bozzutto Management: 833.221.7315,63.0,"Studio, 1BR, 2BR, 3BR",70%,THE SUDBURY DOWNTOWN,"['100 Sudbury St, Boston, MA 02114, United States']"
43,Downtown,"The Victor
110 Beverly Street",Windsor Communities: 617.742.9595,10.0,"Studio, 1BR, 2BR",70%,THE VICTOR 110 BEVERLY STREET DOWNTOWN,"['110 Beverly St, Boston, MA 02114, United States']"
44,East Boston,41–43 Saratoga Street,"Maloney Properties
41Saratoga@maloneyproperties.com",3.0,"Studio, 1BR",70%,41–43 SARATOGA STREET EAST BOSTON,"['41-43 Saratoga St, Boston, MA 02128, USA']"
45,East Boston,245 Sumner Street,"Maloney Properties: 617.209.5406
245Sumner@maloneyproperties.com",5.0,"2BR, 3BR",70%,245 SUMNER STREET EAST BOSTON,"['245 Sumner St, Boston, MA 02128, USA']"
46,East Boston,"Boston East
126 Border Street","Maloney Properties
BostonEast@maloneyproperties.com",26.0,"1BR, 2BR, artist live/work",70%,BOSTON EAST 126 BORDER STREET EAST BOSTON,"['126 Border St, Boston, MA 02128, USA']"
47,East Boston,"Portside @ East Pier, 50 Lewis Street","Maloney Properties: 617.209.5406
Portside@maloneyproperties.com",26.0,"Studio, 1BR, 2BR","80%, 100%, 120%, 150%","PORTSIDE @ EAST PIER, 50 LEWIS STREET EAST BOSTON","['40 E Pier Dr, East Boston, MA 02128, United States', '50 Lewis St, East Boston, MA 02128, United States']"
48,East Boston,Portside @ East Pier Phase 2,"Maloney Properties: 617.209.5406
Portside@maloneyproperties.com",43.0,"Studio, 1BR, 2BR","80%, 80-100%, 100-120%, 120-150%",PORTSIDE @ EAST PIER PHASE 2 EAST BOSTON,"['40 E Pier Dr, East Boston, MA 02128, United States']"
49,Fenway,29 Peterborough Street,Hajjar Realty: 617.296.5200,1.0,1BR,90%,29 PETERBOROUGH STREET FENWAY,"['29 Peterborough St, Boston, MA 02215, USA']"
50,Fenway,142–148 Hemenway Street,R.M. Bradley & Company: 617.421.0732,15.0,"2BR, 3BR, 4BR","50%, 80%",142–148 HEMENWAY STREET FENWAY,"['142-148 Hemenway Street., Hemenway St, Boston, MA 02115, USA']"
51,Fenway,839 Beacon Street,Sean Kingsley: sean@sbc2properties.com,6.0,"Studio, 1BR, 2BR",70%,839 BEACON STREET FENWAY,"['839 Beacon St, Boston, MA 02215, USA']"
52,Fenway,1330 Boylston Street,1330Boylston@maloneyproperties.com,10.0,"1BR, 2BR",100%,1330 BOYLSTON STREET FENWAY,"['1330 Boylston St, Boston, MA 02215, USA']"
53,Fenway,Bower,Maloney Properties: TheBower@maloneyproperties.com,27.0,"Studio, 1BR, 2BR",70%,BOWER FENWAY,"['771 Beacon St, Boston, MA 02215, United States']"
54,Fenway,"Gateway Boston
900 Beacon Street",Gibson Sotheby: 518.423.0309,4.0,1BR,70%,GATEWAY BOSTON 900 BEACON STREET FENWAY,"['900 Beacon St, Boston, MA 02215, United States']"
55,Fenway,"Harlo
1350 Boylston Street",Bozzuto Management Co.: 617.459.4092,24.0,"Studio, 1BR, 2BR","80%, 100%, 80-120%",HARLO 1350 BOYLSTON STREET FENWAY,"['1350 Boylston St, Boston, MA 02215, United States']"
56,Fenway,"Fenway Diamond
9-23 Miner Street",Peabody Properties: 855.388.8328,6.0,"Studio, 1BR, 2BR",70%,FENWAY DIAMOND 9-23 MINER STREET FENWAY,"['9 Miner St, Boston, MA 02215, United States']"
57,Fenway,"Fenway Triangle
150 & 180 Brookline Avenue, 1365 Boylston Street",FenwayTriangle@maloneyproperties.com,41.0,"Studio, 1BR, 2BR","80%, 80-90%, 90-100%, 100-120%","FENWAY TRIANGLE 150 & 180 BROOKLINE AVENUE, 1365 BOYLSTON STREET FENWAY","['180 Brookline Ave, Boston, MA 02215, United States']"
58,Fenway,"Harvard @ Trilogy
170 Brookline Avenue",Harvard Real Estate Services: 617.496.0216,17.0,"Studio, 1BR, 2BR","80%, 80-90%, 90-100%, 100-120%",HARVARD @ TRILOGY 170 BROOKLINE AVENUE FENWAY,"['Fenway Triangle Trilogy, 170 Brookline Ave, Boston, MA 02215, United States']"
59,Fenway,The Pierce,Pierce@maloneyproperties.com,41.0,"Studio, 1BR, 2BR, 3BR","70%, 80-120%",THE PIERCE FENWAY,"['200 Brookline Ave, Boston, MA 02215, United States']"
60,Fenway,"Triangle Trilogy
180 Brookline Avenue",Samuels & Associates: 617.874.5646,41.0,"Studio, 1BR, 2BR","80%, 80-90%, 90-100%, 100-120%",TRIANGLE TRILOGY 180 BROOKLINE AVENUE FENWAY,"['180 Brookline Ave, Boston, MA 02215, United States']"
61,Fenway,"Van Ness
1335 Boylston Street",VanNess@maloneyproperties.com,13.0,"Studio, 1BR, 2BR",70%,VAN NESS 1335 BOYLSTON STREET FENWAY,"['1325 Boylston St, Boston, MA 02215, United States']"
62,Fenway,"The Viridian
1282 Boylston Street","Maloney Properties: 617.209.5406
Viridian@maloneyproperties.com",38.0,"Studio, 1BR, 2BR, 3BR","80%, 100%, 120%",THE VIRIDIAN 1282 BOYLSTON STREET FENWAY,"['1282 Boylston St, Boston, MA 02215, United States']"
63,Fort Point,"100 Pier 4
100 Pier 4 Boulevard",UDR Management: 617.849.7433,32.0,"Studio, 1BR, 2BR","80%, 120%",100 PIER 4 100 PIER 4 BOULEVARD FORT POINT,"['100 Pier 4 Blvd. #2218, Boston, MA 02210, United States']"
64,Fort Point,"315 on A Apartments
315 A Street",Equity Residential: 617.423.1900,22.0,"Studio, 1BR, 2BR",70%,315 ON A APARTMENTS 315 A STREET FORT POINT,"['315 A St, Boston, MA 02210, United States']"
65,Fort Point,381 Congress Street,Princeton Properties: 617.934.2315,4.0,"Studio, 1BR",70%,381 CONGRESS STREET FORT POINT,"['381 Congress St, Boston, MA 02210, USA']"
66,Fort Point,"The Muse
63 Melcher Street",TheMuse@maloneyproperties.com,9.0,"Studio, Artist Live/Work",70%,THE MUSE 63 MELCHER STREET FORT POINT,"['63 Melcher St, Boston, MA 02210, United States']"
67,Hyde Park,735-745 Truman Parkway,TrumanParkway@maloneyproperties.com,6.0,"studio, 1BR, 2BR",70%,735-745 TRUMAN PARKWAY HYDE PARK,"['735 Truman Pkwy #745, Boston, MA 02136, USA']"
68,Hyde Park,"Thread
1580 River Street","Corvo Properties: 781-767-3001
vita@corvoproperties.com",4.0,"1BR, 2BR",70%,THREAD 1580 RIVER STREET HYDE PARK,"['1580 River St, Boston, MA 02136, USA']"
69,Jamaica Plain,3383 Washington Street,"Maloney Properties: 617.209.5406
WashingtonStreet@maloneyproperties.com",4.0,"1BR, 2BR",70%,3383 WASHINGTON STREET JAMAICA PLAIN,"['3383 Washington St, Jamaica Plain, MA 02130, USA']"
70,Jamaica Plain,"MetroMark
3593-3615 Washington Street",Corcoran Management: 617.541.1818,40.0,"Studio, 1BR, 2BR, 3BR","50%, 70%, 100%",METROMARK 3593-3615 WASHINGTON STREET JAMAICA PLAIN,"['3611 Washington St, Boston, MA 02130, United States']"
71,Jamaica Plain,"Off Centre Lofts
20 Sunnyside Street","Peabody Properties: 617.433.8231
Jfebres@peabodyproperties.com",2.0,Studio,70%,OFF CENTRE LOFTS 20 SUNNYSIDE STREET JAMAICA PLAIN,"['20 Sunnyside St, Boston, MA 02130, USA']"
72,Jamaica Plain,"Bell Olmsted Park
161 South Huntington","Bell Partners, Inc.: 833.882.2279",37.0,"Studio, 1BR, 2BR, 3BR","60%, 70%, 80%, 90%",BELL OLMSTED PARK 161 SOUTH HUNTINGTON JAMAICA PLAIN,"['161 S Huntington Ave, Jamaica Plain, MA 02130, United States']"
73,Jamaica Plain,"The Brynx
201 South Huntington Avenue","Maloney Properties
Brynx@maloneyproperties.com",19.0,"Studio, 1BR, 2BR",70%,THE BRYNX 201 SOUTH HUNTINGTON AVENUE JAMAICA PLAIN,"['201 S Huntington Ave, Boston, MA 02130, United States']"
74,Mission Hill,40 Fisher Avenue,Savage Properties: 617.713.4444,2.0,"1BR, 3BR",70%,40 FISHER AVENUE MISSION HILL,"['40 Fisher Ave, Roxbury, MA 02120, USA']"
75,Mission Hill,1457 Tremont Street,CSRE Property Management: 617.238.7415 pm@csreboston.com,5.0,"Studio, 1BR",70%,1457 TREMONT STREET MISSION HILL,"['1457 Tremont St, Boston, MA 02120, USA']"
76,Mission Hill,"Valor
1467 Tremont Street","Street & Company: 617.742.3787 
jamesfay3@streetandcompany.com",2.0,"Studio, 1BR",70%,VALOR 1467 TREMONT STREET MISSION HILL,"['1467 Tremont St, Boston, MA 02120, United States']"
77,Mission Hill,"Sunset Lofts
70 Parker Hill Avenue","Maloney Properties: 617.209.5406
70Parker@maloneyproperties.com",7.0,"Studio, 1BR, 2BR",70%,SUNSET LOFTS 70 PARKER HILL AVENUE MISSION HILL,"['74 Parker Hill Ave, Boston, MA 02120, United States']"
78,North End,"Strada 234
234 Causeway Street","Maloney Properties: 617.209.5406
Strada@maloneyproperties.com",20.0,"Studio, 1BR, 2BR","80%, 100%, 120%",STRADA 234 234 CAUSEWAY STREET NORTH END,"['234 Causeway St, Boston, MA 02114, United States']"
79,Roslindale,"Parkside on Adams
4236 Washington Street",Corcoran Management: 781-789-8427,6.0,"Studio, 1BR, 2BR",70%,PARKSIDE ON ADAMS 4236 WASHINGTON STREET ROSLINDALE,"['4236 Washington St, Boston, MA 02131, United States']"
80,Roxbury,9 Williams Street,Winn Residential: 617.445.8337,21.0,"1BR, 2BR, 3BR",70%,9 WILLIAMS STREET ROXBURY,"['9 Williams St, Boston, MA 02119, USA']"
81,Roxbury,10 Roxbury Street,Isalia Property Group: 617.299.1075,2.0,1BR,70%,10 ROXBURY STREET ROXBURY,"['10 Roxbury St, Boston, MA 02119, USA']"
82,Roxbury,81 Amory Street,CSRE Property Management: 617.238.7415 pm@csreboston.com,2.0,"1BR, 3BR",70%,81 AMORY STREET ROXBURY,"['81 Amory St, Boston, MA 02119, USA']"
83,Roxbury,150 Camden Street ,150Camden@maloneyproperties.com,8.0,"1BR, 2BR, 3BR",70%,150 CAMDEN STREET  ROXBURY,"['150 Camden St, Boston, MA 02118, USA']"
84,Roxbury,"Alvah Kittredge House
10 Linwood Street",Certified Property Management: 617.738.6606 x208,2.0,2BR,70%,ALVAH KITTREDGE HOUSE 10 LINWOOD STREET ROXBURY,"['12 Linwood St, Boston, MA 02119, United States']"
85,Roxbury,Cara 13 Shetland Street,Maloney Properties: TheCara@maloneyproperties.com,7.0,2BR,70%,CARA 13 SHETLAND STREET ROXBURY,"['13 Shetland St, Boston, MA 02119, United States']"
86,Roxbury,"Douglass Park
168 Camden Street, 650 Columbus Avenue, & 801 Tremont Street",DouglassPark@maloneyproperties.com,35.0,"1BR, 2BR, 3BR","50%, 70%","DOUGLASS PARK 168 CAMDEN STREET, 650 COLUMBUS AVENUE, & 801 TREMONT STREET ROXBURY","['168 Camden St #650, Boston, MA 02118, USA']"
87,Seaport,Alyx,Maloney Properties: Alyx@maloneyproperties.com,24.0,"Micro Studio, Studio, 1BR, 2BR, 3BR",70%,ALYX SEAPORT,"['131 Seaport Blvd, Boston, MA 02210, United States', '60 Pier 4 Blvd., Boston, MA 02210, United States']"
88,Roxbury,"The Melnea
431 Melnea Cass Boulevard","Maloney Properties: 
Melnea@maloneyproperties.com",7.0,"studio, 1BR, 2BR",70%,THE MELNEA 431 MELNEA CASS BOULEVARD ROXBURY,"['431 Melnea Cass Blvd, Boston, MA 02119, USA']"
89,Seaport,"Nema Apartments
399 Congress Street","Maloney Properties: 
Nema@maloneyproperties.com",54.0,"studio, 1BR, 2BR, 3BR",70%,NEMA APARTMENTS 399 CONGRESS STREET SEAPORT,"['399 Congress St, Boston, MA 02210, United States']"
90,Seaport,Ora 899 Congress Street,"Maloney Properties: 
ORA@maloneyproperties.com",22.0,"Studio, 1BR, 2BR",70%,ORA 899 CONGRESS STREET SEAPORT,"['899 Congress St, Boston, MA 02210, United States']"
91,Seaport,The Benjamin,Berkshire Communities: 617.315.4778,46.0,"Studio, 1BR, 2BR, 3BR",70%,THE BENJAMIN SEAPORT,"['25 Northern Ave, Boston, MA 02210, United States']"
92,Seaport,VIA,Berkshire Communities: 617.315.4781,50.0,"Studio, 1BR, 2BR, 3BR",70%,VIA SEAPORT,"['5 Fan Pier Boulevard, Boston, MA 02210, United States']"
93,Seaport,"Watermark Seaport
85 Seaport Boulevard","Greystar: 617.654.2990
watermarkseaportamgr@greystar.com",45.0,"Studio, 1BR, 2BR, 3BR",70%,WATERMARK SEAPORT 85 SEAPORT BOULEVARD SEAPORT,"['85 Seaport Blvd, Boston, MA 02210, United States']"
94,Seaport,"Waterside Place
505 Congress Street","Bozzuto Management: 617.936.0004
 watersideplace@bozzuto.com",5.0,"Studio, 1BR, 2BR, 3BR",80%,WATERSIDE PLACE 505 CONGRESS STREET SEAPORT,"['505 Congress St, Boston, MA 02210, United States']"
95,South Boston,"11 on the Dot
11 Dorchester Street","Maloney Properties: 617.209.5406
11Dorchester@maloneyproperties.com",4.0,"Studio, 1BR, 2BR",70%,11 ON THE DOT 11 DORCHESTER STREET SOUTH BOSTON,"['11 Dorchester St, Boston, MA 02127, United States']"
96,South Boston,11 West Broadway,Bodwell Pines: 508.651.0700,6.0,"1BR, 2BR",70%,11 WEST BROADWAY SOUTH BOSTON,"['11 W Broadway, Boston, MA 02127, USA']"
97,South Boston,26 West Broadway,"Corcoran Management: 617-269-9300
26WestBroadway@corcoranmgmt.com",4.0,"Studio, 1BR, 2BR",70%,26 WEST BROADWAY SOUTH BOSTON,"['26 W Broadway, Boston, MA 02127, USA']"
98,South Boston,200-204 Old Colony Avenue,Adam Burns: info@burnsrealtyboston.com,8.0,"Studio, 1BR, 2BR","70%, 100%",200-204 OLD COLONY AVENUE SOUTH BOSTON,"['200 Old Colony Ave #204, Boston, MA 02127, USA']"
99,South Boston,728 East Broadway,"Maloney Properties: 617.209.5406
EastBroadway@maloneyproperties.com",2.0,"1BR, 2BR",70%,728 EAST BROADWAY SOUTH BOSTON,"['728 E Broadway, Boston, MA 02127, USA']"
100,South Boston,"Flats on D
411 D Street",Bozzuto Management: 617.936.0369,30.0,"Studio, 1BR, 2BR",70%,FLATS ON D 411 D STREET SOUTH BOSTON,"['411 D St, Boston, MA 02210, United States']"
101,South Boston,"Parklane Seaport Apartments
1 Park Lane",Bozzuto Management: 617.542.3200,15.0,"1BR, 2BR","80%, 80-100%, 100-120%",PARKLANE SEAPORT APARTMENTS 1 PARK LANE SOUTH BOSTON,"['One Park Ln, Boston, MA 02210, United States']"
102,South Boston,"The Signal Building
184 West Second Street",Wadleigh and Associates: 978-809-8405,9.0,"Studio, Artist Live/Work, 1BR, 2BR",80%,THE SIGNAL BUILDING 184 WEST SECOND STREET SOUTH BOSTON,"['154 W 2nd St, Boston, MA 02127, United States']"
103,South Boston,"Westside Crossing
339 D Street",Akelius: 617.330.9378,3.0,"1BR, 2BR",70%,WESTSIDE CROSSING 339 D STREET SOUTH BOSTON,"['320 D St, Boston, MA 02127, United States', '241 A St, Boston, MA 02210, United States']"
104,South Boston,"West Square
320 D Street",Akelius: 617.330.9378,33.0,"Studio, 1BR, 2BR",70%,WEST SQUARE 320 D STREET SOUTH BOSTON,"['320 D St, Boston, MA 02127, United States']"
105,South End,601 Albany Street,The Hamilton Company: 617.426.3060,5.0,"Studio, 1BR, 2BR",80%,601 ALBANY STREET SOUTH END,"['601 Albany St, Boston, MA 02118, USA']"
106,South End,"Ink Block
300 Harrison Avenue",National Development: 617.912.4969,41.0,"Studio, 1BR, 2BR, 3BR",70%,INK BLOCK 300 HARRISON AVENUE SOUTH END,"['300 Harrison Ave, Boston, MA 02118, United States']"
107,South End,"James Court Apartments
45 East Newton Street",Fulton Properties: 617.369.9400,9.0,"1BR, 2BR",60%,JAMES COURT APARTMENTS 45 EAST NEWTON STREET SOUTH END,"['761 Harrison Ave, Boston, MA 02118, United States']"
108,South End,"The Girard
600 Harrison Avenue",Bozzuto Management Co.: 844.203.6014,21.0,"1BR, 2BR",70%,THE GIRARD 600 HARRISON AVENUE SOUTH END,"['50 W Malden St, Boston, MA 02118, United States', '600 Harrison Ave, Boston, MA 02118, United States']"
109,South End,"The Lofts at East Berkeley
160 East Berkeley Street",The Hamilton Company: 617.426.3060,1.0,Loft (1BR),100%,THE LOFTS AT EAST BERKELEY 160 EAST BERKELEY STREET SOUTH END,"['477 Harrison Ave, Boston, MA 02118, United States']"
110,South End,The Smith,Maloney Properties: TheSmith@maloneyproperties.com,30.0,"Studio, 1BR, 2BR, 3BR, & Artist Live/Work",70%,THE SMITH SOUTH END,"['89 E Dedham St, Boston, MA 02118, United States']"
111,South End,"Troy Boston
275 Albany Street",Equity Residential:617-517-7302,38.0,"Studio, 1BR, 2BR",70%,TROY BOSTON 275 ALBANY STREET SOUTH END,"['55 Traveler St, Boston, MA 02118, United States']"
112,West End,Avalon North Station,Avalon Communities: 617.236.1369,30.0,"Studio, 1BR, 2BR, 3BR","80%, 80-120%",AVALON NORTH STATION WEST END,"['1 Nashua St, Boston, MA 02114, United States']"
113,West End,"Emerson Place
1 & 10 Emerson Place",Equity Residential: 617.648.2180,19.0,"Studio, 1BR, 2BR",90%,EMERSON PLACE 1 & 10 EMERSON PLACE WEST END,"['1 Emerson Pl, Boston, MA 02114, USA']"
