"149","Conservation_District","100","District"
"150","Conservation_SubDistrict","100","District"
"151","Consolidated_Water_District","100","District"
"152","Control_Zone_District","100","District"
"153","Corrections_District","100","District"
"154","County_Board_of_Education_District","100","District"
"155","County_Board_of_Education_SubDistrict","100","District"
"156","County_Community_College_District","100","District"
"157","County_Fire_District","100","District"
"158","County_Hospital_District","100","District"
"159","County_Library_District","100",""
"160","County_Memorial_District","100","District"
"161","County_Paramedic_District","100",""
"162","County_Service_Area","100","District"
"163","County_Service_Area_SubDistrict","100","District"
"164","County_Sewer_District","100","District"
"165","County_Superintendent_of_Schools_District","100","District"
"166","County_Unified_School_District","100","District"
"167","County_Water_District","100","District"
"168","County_Water_Landowner_District","100","District"
"169","County_Water_SubDistrict","100","District"
"170","Democratic_Convention_Member","100","District"
"171","Democratic_Zone","100","District"
"172","Designated_Market_Area_DMA","100",""
"173","District_Attorney","100","District"
"174","Drainage_District","100",""
"175","Education_Commission_District","100","District"
"176","Educational_Service_District","100","District"
"177","Educational_Service_Subdistrict","100","District"
"178","Election_Commissioner_District","100","District"
"179","Elementary_School_District","100","District"
"180","Elementary_School_SubDistrict","100","District"
"181","Emergency_Communication_911_District","100",""
"182","Emergency_Communication_911_SubDistrict","100",""
"183","Enterprise_Zone_District","100","District"
"184","Exempted_Village_School_District","100","District"
"185","EXT_District","100","District"
"186","Facilities_Improvement_District","100","District"
"187","Fire_District","100","District"
"188","Fire_Maintenance_District","100","District"
"189","Fire_Protection_District","100","District"
"190","Fire_Protection_SubDistrict","100","District"
"191","Fire_Protection_Tax_Measure_District","100","District"
"192","Fire_Service_Area_District","100","District"
"193","Fire_SubDistrict","100","District"
"194","Flood_Control_Zone","100","District"
"195","Forest_Preserve","100","District"
"196","Garbage_District","100","District"
"197","Geological_Hazard_Abatement_District","100","District"
"198","Health_District","100","District"
"199","High_School_District","100","District"
"200","High_School_SubDistrict","100","District"
"201","Hospital_District","100","District"
"202","Hospital_SubDistrict","100","District"
"203","Improvement_Landowner_District","100","District"
"204","Independent_Fire_District","100","District"
"205","Irrigation_District","100","District"
"206","Irrigation_SubDistrict","100","District"
"207","Island","100","District"
"208","Judicial_Appellate_District","100","District"
"209","Judicial_Chancery_Court","100","District"
"210","Judicial_Circuit_Court_District","100","District"
"211","Judicial_County_Board_of_Review_District","100","District"
"212","Judicial_County_Court_District","100","District"
"213","Judicial_District","100","District"
"214","Judicial_District_Court_District","100","District"
"215","Judicial_Family_Court_District","100","District"
"216","Judicial_Jury_District","100","District"
"217","Judicial_Juvenile_Court_District","100","District"
"218","Judicial_Magistrate_Division","100","District"
"219","Judicial_Sub_Circuit_District","100",""
"220","Judicial_Superior_Court_District","100","District"
"221","Judicial_Supreme_Court_District","100","District"
"222","Justice_of_the_Peace","100","District"
"223","Land_Commission","100","District"
"224","Landscaping_And_Lighting_Assessment_Distric","100",""
"225","Law_Enforcement_District","100","District"
"226","Learning_Community_Coordinating_Council_District","100","District"
"227","Levee_District","100","District"
"228","Levee_Reconstruction_Assesment_District","100","District"
"229","Library_District","100","District"
"230","Library_Services_District","100","District"
"231","Library_SubDistrict","100","District"
"232","Lighting_District","100","District"
"233","Local_Hospital_District","100","District"
"234","Local_Park_District","100","District"
"235","Maintenance_District","100","District"
"236","Master_Plan_District","100","District"
"237","Memorial_District","100","District"
"238","Metro_Service_District","100","District"
"239","Metro_Service_Subdistrict","100","District"
"240","Metro_Transit_District","100","District"
"241","Metropolitan_Water_District","100","District"
"242","Middle_School_District","100","District"
"243","Mosquito_Abatement_District","100","District"
"244","Mountain_Water_District","100","District"
"245","Multi_township_Assessor","100",""
"246","Municipal_Advisory_Council_District","100","District"
"247","Municipal_Court_District","100","District"
"248","Municipal_Utility_District","100","District"
"249","Municipal_Utility_SubDistrict","100","District"
"250","Municipal_Water_District","100","District"
"251","Municipal_Water_SubDistrict","100","District"
"252","Museum_District","100","District"
"253","Northeast_Soil_and_Water_District","100","District"
"254","Open_Space_District","100","District"
"255","Open_Space_SubDistrict","100","District"
"256","Other","100","District"
"257","Paramedic_District","100","District"
"258","Park_Commissioner_District","100","District"
"259","Park_District","100","District"
"260","Park_SubDistrict","100","District"
"261","Planning_Area_District","100","District"
"262","Police_District","100","District"
"263","Port_District","100","District"
"264","Port_SubDistrict","100","District"
"265","Power_District","100","District"
"266","Proposed_City","100","District"
"267","Proposed_City_Commissioner_District","100","District"
"268","Proposed_Community_College","100","District"
"269","Proposed_District","100","District"
"270","Proposed_Elementary_School_District","100","District"
"271","Proposed_Fire_District","100","District"
"272","Proposed_Unified_School_District","100","District"
"273","Public_Airport_District","100","District"
"274","Public_Regulation_Commission","100","District"
"275","Public_Service_Commission_District","100","District"
"276","Public_Utility_District","100","District"
"277","Public_Utility_SubDistrict","100","District"
"278","Rapid_Transit_District","100",""
"279","Rapid_Transit_SubDistrict","100","District"
"280","Reclamation_District","100","District"
"281","Recreation_District","100","District"
"282","Recreational_SubDistrict","100","District"
"283","Regional_Office_of_Education_District","100","District"
"284","Republican_Area","100","District"
"285","Republican_Convention_Member","100","District"
"286","Resort_Improvement_District","100","District"
"287","Resource_Conservation_District","100","District"
"288","River_Water_District","100","District"
"289","Road_Maintenance_District","100","District"
"290","Rural_Service_District","100","District"
"291","Sanitary_District","100","District"
"292","Sanitary_SubDistrict","100","District"
"293","School_Board_District","100","District"
"294","School_District","100","District"
"295","School_District_Vocational","100",""
"296","School_Facilities_Improvement_District","100","District"
"297","School_Subdistrict","100","District"
"298","Service_Area_District","100","District"
"299","Sewer_District","100","District"
"300","Sewer_Maintenance_District","100","District"
"301","Sewer_SubDistrict","100","District"
"302","Snow_Removal_District","100","District"
"303","Soil_And_Water_District","100",""
"304","Soil_And_Water_District_At_Large","100",""
"305","Special_Reporting_District","100","District"
"306","Special_Tax_District","100","District"
"307","State_Board_of_Equalization","100","District"
"308","Storm_Water_District","100","District"
"309","Street_Lighting_District","100","District"
"310","Superintendent_of_Schools_District","100","District"
"311","Transit_District","100","District"
"312","Transit_SubDistrict","100","District"
"313","TriCity_Service_District","100","District"
"314","TV_Translator_District","100","District"
"315","Unified_School_District","100","District"
"316","Unified_School_SubDistrict","100","District"
"317","Unincorporated_District","100","District"
"318","Unincorporated_Park_District","100","District"
"319","Unprotected_Fire_District","100","District"
"320","Ute_Creek_Soil_District","100","District"
"321","Vector_Control_District","100","District"
"322","Vote_By_Mail_Area","100","District"
"323","Wastewater_District","100","District"
"324","Water_Agency","100","District"
"325","Water_Agency_SubDistrict","100","District"
"326","Water_Conservation_District","100","District"
"327","Water_Conservation_SubDistrict","100","District"
"328","Water_Control__Water_Conservation","100",""
"329","Water_Control__Water_Conservation_SubDistrict","100",""
"330","Water_District","100","District"
"331","Water_Public_Utility_District","100","District"
"332","Water_Public_Utility_Subdistrict","100","District"
"333","Water_Replacement_District","100","District"
"334","Water_Replacement_SubDistrict","100","District"
"335","Water_SubDistrict","100","District"
"336","Weed_District","100","District"
"337","CommercialData_BookBuyerInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"338","CommercialData_ComputerOwnerInHome","1","Yes or unknown"
"339","CommercialData_CulinaryInterestMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"340","CommercialData_DoItYourselferMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"341","CommercialData_DonatesEnvironmentCauseInHome","1","Yes or unknown"
"342","CommercialData_DonatesToCharityInHome","1","Yes or unknown"
"343","CommercialData_DwellingType","100","Large mult wo/Apt number, POBOX, Single Family Dwelling Unit, Small Mult or large mult w/apt number"
"344","CommercialData_DwellingUnitSize","100","Single Family Dwelling Unit, Duplex, Triplex, 4, 5-9, 10-19, 20-49, 50-100, 101+"
"345","CommercialData_Education","100","Based on modeled and self-reported data. Possible values are: Unknown, HS Diploma - Extremely Likely, Some College -Extremely Likely, Bach Degree - Extremely Likely, Grad Degree - Extremely Likely, Less than HS Diploma - Ex Like, HS Diploma - Likely, Some College - Likely, Bach Degree - Likely, Grad Degree - Likely, Less than HS Diploma - Likely"
"346","CommercialData_EstHomeValue","10","Modeled commercial data"
"347","CommercialData_EstimatedHHIncome","100",""
"348","CommercialData_EstimatedHHIncomeAmount","10",""
"349","CommercialData_EstimatedAreaMedianHHIncome","10",""
"350","CommercialData_FamilyMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"351","CommercialData_FemaleOrientedMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"352","CommercialData_FinancialMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"353","CommercialData_GardeningMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"354","CommercialData_HealthFitnessMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"355","CommercialData_HHComposition","100","1 adult Female, 1 adult Female + Children, 1 adult Male, 1 adult Male & 1 adult Female, 1 adult Male & 1 adult Female + Children, 1 adult Male + Children, 2 or more adult Females, 2 or more adult Females + children, 2 or more adult Males, 2 or more adult Males + children, Unknown"
"356","CommercialData_HomePurchaseDate","10","Commercial data "
"357","CommercialData_HomePurchasePrice","10","Commercial data "
"358","CommercialData_ISPSA","1",""Index of Social Position for Small Areas" is a mix of education and income information to suggest where a voter lies on a scale of 0 to 9 on the "social-economic ladder"."
"359","CommercialData_LandValue","10","Commercial data"
"360","CommercialData_LikelyUnion","3","modeled based on known occupations that are highly unionized"
"361","CommercialData_AreaMedianEducationYears","5",""
"362","CommercialData_AreaMedianHousingValue","10",""
"363","CommercialData_MosaicZ4","100","Experian lifestyle indicator.  See MosaicZ4 tab."
"364","CommercialData_MosaicZ4Global","100","CommercialData_MosaicZ4Global"
"365","CommercialData_Occupation","100","Limited to about 12% to 15% of all voters, these are actual self-reported occupations most being state licensed occupations; See Occupation tab"
"366","CommercialData_OccupationGroup","100","CommercialData_OccupationGroup"
"367","CommercialData_OccupationIndustry","50","Listed major occupational categories"
"368","CommercialData_AreaPcntHHMarriedCoupleNoChild","6",""
"369","CommercialData_AreaPcntHHMarriedCoupleWithChild","6",""
"370","CommercialData_AreaPcntHHSpanishSpeaking","6",""
"371","CommercialData_AreaPcntHHWithChildren","6",""
"372","CommercialData_PoliticalContributerInHome","1","Single digit number of contributions made to political causes by members of this household"
"373","CommercialData_PresenceOfChildrenCode","100","Descriptive field or blank showing probability of presence of children; Possible values are: Known Data, Modeled Likely to have a child, Modeled Not as Likely to have a child, Not Likely to have a child"
"374","CommercialData_PresenceOfPremCredCrdInHome","1","Yes or unknown"
"375","CommercialData_PropertyType","100","Agricultural, Apartment, Commercial Condo, Condominium, Duplex, Mobil Home, Residential, Unknown"
"376","CommercialData_ReligiousContributorInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"377","CommercialData_ReligiousMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"378","CommercialData_StateIncomeDecile","1","Census Data descriptive field identifying the decile range of state income for the area in which the voter lives.  0 thru 9, with 9 being highest."
"379","CommercialData_UpscaleBuyerInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"380","CommercialData_UpscaleFemaleBuyerInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"381","CommercialData_UpscaleMaleBuyerInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"382","CommercialDataLL_Business_Owner","3","Yes/null"
"383","CommercialDataLL_Buyer_Antiques_In_Household","3","Yes/null"
"384","CommercialDataLL_Buyer_Art_In_Household","3","Yes/null"
"385","CommercialDataLL_Collector_Antiques_In_Household","3","Yes/null"
"386","CommercialDataLL_Collector_Arts_In_Household","3","Yes/null"
"387","CommercialDataLL_Collector_Avid_In_Household","3","Yes/null"
"388","CommercialDataLL_Collector_Coins_In_Household","3","Yes/null"
"389","CommercialDataLL_Collector_General_In_Household","3","Yes/null"
"390","CommercialDataLL_Collector_Military_In_Household","3","Yes/null"
"391","CommercialDataLL_Collector_Sports_In_Household","3","Yes/null"
"392","CommercialDataLL_Collector_Stamps_In_Household","3","Yes/null"
"393","CommercialDataLL_Donates_to_Animal_Welfare","3","Yes/null"
"394","CommercialDataLL_Donates_to_Arts_and_Culture","3","Yes/null"
"395","CommercialDataLL_Donates_to_Childrens_Causes","3","Yes/null"
"396","CommercialDataLL_Donates_to_Conservative_Causes","3","Yes/null"
"397","CommercialDataLL_Donates_to_Healthcare","3","Yes/null"
"398","CommercialDataLL_Donates_to_International_Aid_Causes","3","Yes/null"
"399","CommercialDataLL_Donates_to_Liberal_Causes","3","Yes/null"
"400","CommercialDataLL_Donates_to_Local_Community","3","Yes/null"
"401","CommercialDataLL_Donates_to_Veterans_Causes","3","Yes/null"
"402","CommercialDataLL_Donates_to_Wildlife_Preservation","3","Yes/null"
"403","CommercialDataLL_Gun_Owner","3","Based on gun registrations and subscriptions to gun/hunting magazines; Yes or null"
"404","CommercialDataLL_Gun_Owner_Concealed_Permit","3",""
"405","CommercialDataLL_Hispanic_Country_Origin","50","Listed countries"
"406","CommercialDataLL_Home_Office","3","Yes/null"
"407","CommercialDataLL_Home_Owner_Or_Renter","20","Likely Homeowner/Likely Renter/null"
"408","CommercialDataLL_Household_Primary_Language","50","Listed languages"
"409","CommercialDataLL_Interest_in_Auto_Work_In_Household","3","Yes/null"
"410","CommercialDataLL_Interest_in_Automotive_Parts_Accessories_In_Household","3","Yes/null"
"411","CommercialDataLL_Interest_in_Aviation_In_Household","3","Yes/null"
"412","CommercialDataLL_Interest_in_BoardGames_Puzzles_In_Household","3","Yes/null"
"413","CommercialDataLL_Interest_in_Boating_Sailing_In_Household","3","Yes/null"
"414","CommercialDataLL_Interest_in_Camping_Hiking_In_Household","3","Yes/null"
"415","CommercialDataLL_Interest_in_Cooking_General_In_Household","3","Yes/null"
"416","CommercialDataLL_Interest_in_Cooking_Gourmet_In_Household","3","Yes/null"
"417","CommercialDataLL_Interest_in_Crafts_In_Household","3","Yes/null"
"418","CommercialDataLL_Interest_in_Current_Affairs_Politics_In_Household","3","Yes/null"
"419","CommercialDataLL_Interest_in_Education_Online_In_Household","3","Yes/null"
"420","CommercialDataLL_Interest_in_Electronic_Gaming_In_Household","3","Yes/null"
"421","CommercialDataLL_Interest_in_Exercise_Aerobic_In_Household","3","Yes/null"
"422","CommercialDataLL_Interest_in_Exercise_Health_In_Household","3","Yes/null"
"423","CommercialDataLL_Interest_in_Exercise_Running_Jogging_In_Household","3","Yes/null"
"424","CommercialDataLL_Interest_in_Exercise_Walking_In_Household","3","Yes/null"
"425","CommercialDataLL_Interest_in_Fishing_In_Household","3","Yes/null"
"426","CommercialDataLL_Interest_in_Food_Wines_In_Household","3","Yes/null"
"427","CommercialDataLL_Interest_in_Foods_Natural_In_Household","3","Yes/null"
"428","CommercialDataLL_Interest_in_Gaming_Casino_In_Household","3","Yes/null"
"429","CommercialDataLL_Interest_in_Gardening_In_Household","3","Yes/null"
"430","CommercialDataLL_Interest_in_Golf_In_Household","3","Yes/null"
"431","CommercialDataLL_Interest_in_History_Military_In_Household","3","Yes/null"
"432","CommercialDataLL_Interest_in_Home_Furnishings_In_Household","3","Yes/null"
"433","CommercialDataLL_Interest_in_Home_Improvement_In_Household","3","Yes/null"
"434","CommercialDataLL_Interest_in_Home_Repair_In_Household","3","Yes/null"
"435","CommercialDataLL_Interest_in_House_Plants_In_Household","3","Yes/null"
"436","CommercialDataLL_Interest_in_Hunting_In_Household","3","Yes/null"
"437","CommercialDataLL_Interest_in_Motorcycling_In_Household","3","Yes/null"
"438","CommercialDataLL_Interest_in_Musical_Instruments_In_Household","3","Yes/null"
"439","CommercialDataLL_Interest_in_Nascar_In_Household","3","Yes/null"
"440","CommercialDataLL_Interest_in_Photography_In_Household","3","Yes/null"
"441","CommercialDataLL_Interest_in_Photography_Video_In_Household","3","Yes/null"
"442","CommercialDataLL_Interest_in_Religious_Inspirational_In_Household","3","Yes/null"
"443","CommercialDataLL_Interest_in_Science_Space_In_Household","3","Yes/null"
"444","CommercialDataLL_Interest_in_Scuba_Diving_In_Household","3","Yes/null"
"445","CommercialDataLL_Interest_in_Sewing_Knitting_In_Household","3","Yes/null"
"446","CommercialDataLL_Interest_in_Shooting_In_Household","3","Yes/null"
"447","CommercialDataLL_Interest_in_Smoking_In_Household","3","Yes/null"
"448","CommercialDataLL_Interest_in_Snow_Skiing_In_Household","3","Yes/null"
"449","CommercialDataLL_Interest_in_SpectatorSports_Auto_Racing_In_Household","3","Yes/null"
"450","CommercialDataLL_Interest_in_SpectatorSports_Baseball_In_Household","3","Yes/null"
"451","CommercialDataLL_Interest_in_SpectatorSports_Basketball_In_Household","3","Yes/null"
"452","CommercialDataLL_Interest_in_SpectatorSports_Football_In_Household","3","Yes/null"
"453","CommercialDataLL_Interest_in_SpectatorSports_Hockey_In_Household","3","Yes/null"
"454","CommercialDataLL_Interest_in_SpectatorSports_on_TV_In_Household","3","Yes/null"
"455","CommercialDataLL_Interest_in_SpectatorSports_Soccer_In_Household","3","Yes/null"
"456","CommercialDataLL_Interest_in_Sports_Leisure_In_Household","3","Yes/null"
"457","CommercialDataLL_Interest_in_Sweepstakes_Contests_In_Household","3","Yes/null"
"458","CommercialDataLL_Interest_in_Tennis_In_Household","3","Yes/null"
"459","CommercialDataLL_Interest_in_the_Arts_In_Household","3","Yes/null"
"460","CommercialDataLL_Interest_in_Theater_Performing_Arts_In_Household","3","Yes/null"
"461","CommercialDataLL_Interest_in_Travel_Cruise_In_Household","3","Yes/null"
"462","CommercialDataLL_Interest_in_Travel_Domestic_In_Household","3","Yes/null"
"463","CommercialDataLL_Interest_in_Travel_International_In_Household","3","Yes/null"
"464","CommercialDataLL_Interest_in_Woodworking_In_Household","3","Yes/null"
"465","CommercialDataLL_Investor","3","Yes/null"
"466","CommercialDataLL_HH_Net_Worth","50",""
"467","CommercialDataLL_PetOwner_Cat","3","Yes/null"
"468","CommercialDataLL_PetOwner_Dog","3","Yes/null"
"469","CommercialDataLL_PetOwner_Horse","3","Yes/null"
"470","CommercialDataLL_PetOwner_Other","3","Yes/null"
"471","CommercialDataLL_Veteran","3","Yes or null"
"472","ElectionReturns_G08_Cnty_Margin_McCain_R","5",""
"473","ElectionReturns_G08_Cnty_Percent_McCain_R","5",""
"474","ElectionReturns_G08_Cnty_Vote_McCain_R","10",""
"475","ElectionReturns_G08_Cnty_Margin_Obama_D","5",""
"476","ElectionReturns_G08_Cnty_Percent_Obama_D","5",""
"477","ElectionReturns_G08_Cnty_Vote_Obama_D","10",""
"478","ElectionReturns_G08CountyTurnoutAllRegisteredVoters","5","County percentage of voters having voted in specified election"
"479","ElectionReturns_G08CountyTurnoutDemocrats","5","County percentage of specified party voters having voted in specified election"
"480","ElectionReturns_G08CountyTurnoutIndependentsAllOthers","5","County percentage of specified party voters having voted in specified election"
"481","ElectionReturns_G08CountyTurnoutRepublicans","5","County percentage of specified party voters having voted in specified election"
"482","ElectionReturns_G08PrecinctTurnoutAllRegisteredVoters","5","Precinct percentage of voters having voted in specified election"
"483","ElectionReturns_G08PrecinctTurnoutDemocrats","5","Precinct percentage of specified party voters having voted in specified election"
"484","ElectionReturns_G08PrecinctTurnoutIndependentsAllOthers","5","Precinct percentage of specified party voters having voted in specified election"
"485","ElectionReturns_G08PrecinctTurnoutRepublicans","5","Precinct percentage of specified party voters having voted in specified election"
"486","ElectionReturns_G10CountyTurnoutAllRegisteredVoters","5","County percentage of voters having voted in specified election"
