"57","Mailing_Addresses_CheckDigit","1","Mailing_Addresses_CheckDigit"
"58","Mailing_Addresses_HouseNumber","12",""
"59","Mailing_Addresses_PrefixDirection","2",""
"60","Mailing_Addresses_StreetName","50",""
"61","Mailing_Addresses_Designator","4",""
"62","Mailing_Addresses_SuffixDirection","2",""
"63","Mailing_Addresses_ApartmentNum","50",""
"64","Mailing_Addresses_ApartmentType","8",""
"65","Mailing_Addresses_CassErrStatCode","10","Mailing_Addresses_CassErrStatCode"
"66","Mailing_Families_FamilyID","10","Unique alpha-numeric ID starting with an "M" for "Mailing" that is common to all members of a mailing household address but different from all other mailing households."
"67","Mailing_Families_HHCount","3","Total number of voters residing at the given mailing address, 1 thru 10"
"68","Mailing_HHGender_Description","50","Cannot Determine,Female Only Household,Male Only Household,Mixed Gender Household"
"69","Mailing_HHParties_Description","50","Same as Residence HH Parties calculation but based on those sharing the same mailing address rather than those sharing the same residence address"
"70","Voters_Gender","1",""M", "F" or blank."
"71","Voters_Age","10","Age is based on current year minus year of birth."
"72","Voters_BirthDate","30","As reported by election authority or matched in from commercial sources.  The format is "99/99/9999"; note that in some cases where year of birth only is available, birthdate will be set to "1/1/9999""
"73","DateConfidence_Description","50","Identifies whether date is complete or is partial and if the latter, which elements are correct."
"74","Parties_Description","100","Full name of official party. See Parties tab."
"75","VoterParties_Change_Changed_Party","35","Voter changed party affiliation between Dem and Rep"
"76","Ethnic_Description","255","one of approximately 100 ethnic categories covering about 90% of voters with the remaining voters classifed as "unknown".  See Ethnic tab."
"77","EthnicGroups_EthnicGroup1Desc","30",""
"78","CountyEthnic_LALEthnicCode","4","CountyEthnic_LALEthnicCode"
"79","CountyEthnic_Description","255","CountyEthnic_Description"
"80","Religions_Description","20","Modeled data based on first name, last name and census data.  Possible values: Jewish, Catholic, Protestant, Mormon, Islamic, Buddhist, Hindu, Shinto, Sikh, Lutheran, Eastern Orthodox, Greek Orthodox, Christian"
"81","Voters_CalculatedRegDate","30","format "99/99/9999"; calculated reg date will be the same as official reg date except in those cases where the county has used it as a record update field in which case the calculated registration date will be set to 30 days prior to the oldest recorded vote date as a better indicator of the true registration date of the voter"
"82","Voters_OfficialRegDate","30","As reported by election authority."
"83","Voters_PlaceOfBirth","50","Unformatted and non-standardized text field available only in some states."
"84","Languages_Description","50","Based on first and last name analysis and self-reported data; See Languages tab"
"85","AbsenteeTypes_Description","50","Military, Long Term, In State, Out of State, Permanent Out of Country, Mail Precinct, Special, Temporary, Permanent U.S., Federal"
"86","MilitaryStatus_Description","50","Military,Veteran"
"87","MaritalStatus_Description","50","Married,Non-Traditional"
"88","Voters_MovedFrom_State","2","Voters_MovedFrom_State"
"89","Voters_MovedFrom_Date","30","Voters_MovedFrom_Date"
"90","Voters_MovedFrom_Party_Description","100","Voters_MovedFrom_Party"
"91","Voters_MovedFrom_VotingPerformanceEvenYearGeneral","12","Voters_MovedFrom_VotingPerformanceEvenYearGeneral"
"92","Voters_MovedFrom_VotingPerformanceEvenYearPrimary","12","Voters_MovedFrom_VotingPerformanceEvenYearPrimary"
"93","Voters_MovedFrom_VotingPerformanceEvenYearGeneralAndPrimary","12","Voters_MovedFrom_VotingPerformanceEvenYearGeneralAndPrimary"
"94","Voters_MovedFrom_VotingPerformanceMinorElection","12","Voters_MovedFrom_VotingPerformanceMinorElection"
"95","US_Congressional_District","100","District"
"96","AddressDistricts_Change_Changed_CD","35","Voter moved and changed CD"
"97","State_Senate_District","100","District"
"98","AddressDistricts_Change_Changed_SD","35","Voter moved and changed SD"
"99","State_House_District","100","District"
"100","AddressDistricts_Change_Changed_HD","35","Voter moved and changed HD"
"101","State_Legislative_District","100","District"
"102","AddressDistricts_Change_Changed_LD","35","Voter moved and changed LD"
"103","2001_US_Congressional_District","100","District"
"104","2001_State_Senate_District","100","District"
"105","2001_State_House_District","100","District"
"106","2001_State_Legislative_District","100","District"
"107","County","100","District"
"108","Voters_FIPS","4","District"
"109","AddressDistricts_Change_Changed_County","35","Voter moved and changed counties"
"110","Precinct","100","District"
"111","County_Commissioner_District","100","District"
"112","County_Supervisorial_District","100","District"
"113","County_Legislative_District","100","District"
"114","City","100","District"
"115","City_Council_Commissioner_District","100",""
"116","City_Ward","100","District"
"117","City_Mayoral_District","100","District"
"118","Town_District","100","District"
"119","Town_Ward","100","District"
"120","Town_Council","100","District"
"121","Village","100","District"
"122","Village_Ward","100","District"
"123","Township","100","District"
"124","Township_Ward","100","District"
"125","Borough","100","District"
"126","Borough_Ward","100","District"
"127","Hamlet_Community_Area","100",""
"128","4H_Livestock_District","100",""
"129","Airport_District","100","District"
"130","Annexation_District","100","District"
"131","Aquatic_Center_District","100","District"
"132","Aquatic_District","100","District"
"133","Assessment_District","100","District"
"134","Bay_Area_Rapid_Transit","100","District"
"135","Board_of_Education_District","100","District"
"136","Board_of_Education_SubDistrict","100","District"
"137","Bonds_District","100","District"
"138","Career_Center","100","District"
"139","Cemetery_District","100","District"
"140","Central_Committee_District","100",""
"141","Chemical_Control_District","100","District"
"142","City_School_District","100","District"
"143","Coast_Water_District","100","District"
"144","College_Board_District","100","District"
"145","Committee_Super_District","100",""
"146","Communications_District","100","District"
"147","Community_College","100","District"
"148","Community_College_Commissioner_District","100","District"
"149","Community_College_SubDistrict","100","District"
"150","Community_College_At_Large","100",""
"151","Community_Council_District","100","District"
"152","Community_Council_SubDistrict","100","District"
"153","Community_Facilities_District","100","District"
"154","Community_Facilities_SubDistrict","100","District"
"155","Community_Hospital_District","100","District"
"156","Community_Planning_Area","100","District"
"157","Community_Service_District","100","District"
"158","Community_Service_SubDistrict","100","District"
"159","Congressional_Township","100","District"
"160","Conservation_District","100","District"
"161","Conservation_SubDistrict","100","District"
"162","Consolidated_Water_District","100","District"
"163","Control_Zone_District","100","District"
"164","Corrections_District","100","District"
"165","County_Board_of_Education_District","100","District"
"166","County_Board_of_Education_SubDistrict","100","District"
"167","County_Community_College_District","100","District"
"168","County_Fire_District","100","District"
"169","County_Hospital_District","100","District"
"170","County_Library_District","100",""
"171","County_Memorial_District","100","District"
"172","County_Paramedic_District","100",""
"173","County_Service_Area","100","District"
"174","County_Service_Area_SubDistrict","100","District"
"175","County_Sewer_District","100","District"
"176","County_Superintendent_of_Schools_District","100","District"
"177","County_Unified_School_District","100","District"
"178","County_Water_District","100","District"
"179","County_Water_Landowner_District","100","District"
"180","County_Water_SubDistrict","100","District"
"181","Democratic_Convention_Member","100","District"
"182","Democratic_Zone","100","District"
"183","Designated_Market_Area_DMA","100",""
"184","District_Attorney","100","District"
"185","Drainage_District","100",""
"186","Education_Commission_District","100","District"
"187","Educational_Service_District","100","District"
"188","Educational_Service_Subdistrict","100","District"
"189","Election_Commissioner_District","100","District"
"190","Elementary_School_District","100","District"
"191","Elementary_School_SubDistrict","100","District"
"192","Emergency_Communication_911_District","100",""
"193","Emergency_Communication_911_SubDistrict","100",""
"194","Enterprise_Zone_District","100","District"
"195","Exempted_Village_School_District","100","District"
"196","EXT_District","100","District"
"197","Facilities_Improvement_District","100","District"
"198","Fire_District","100","District"
"199","Fire_Maintenance_District","100","District"
"200","Fire_Protection_District","100","District"
"201","Fire_Protection_SubDistrict","100","District"
"202","Fire_Protection_Tax_Measure_District","100","District"
"203","Fire_Service_Area_District","100","District"
"204","Fire_SubDistrict","100","District"
"205","Flood_Control_Zone","100","District"
"206","Forest_Preserve","100","District"
"207","Garbage_District","100","District"
"208","Geological_Hazard_Abatement_District","100","District"
"209","Health_District","100","District"
"210","High_School_District","100","District"
"211","High_School_SubDistrict","100","District"
"212","Hospital_District","100","District"
"213","Hospital_SubDistrict","100","District"
"214","Improvement_Landowner_District","100","District"
"215","Independent_Fire_District","100","District"
"216","Irrigation_District","100","District"
"217","Irrigation_SubDistrict","100","District"
"218","Island","100","District"
"219","Judicial_Appellate_District","100","District"
"220","Judicial_Chancery_Court","100","District"
"221","Judicial_Circuit_Court_District","100","District"
"222","Judicial_County_Board_of_Review_District","100","District"
"223","Judicial_County_Court_District","100","District"
"224","Judicial_District","100","District"
"225","Judicial_District_Court_District","100","District"
"226","Judicial_Family_Court_District","100","District"
"227","Judicial_Jury_District","100","District"
"228","Judicial_Juvenile_Court_District","100","District"
"229","Judicial_Magistrate_Division","100","District"
"230","Judicial_Sub_Circuit_District","100",""
"231","Judicial_Superior_Court_District","100","District"
"232","Judicial_Supreme_Court_District","100","District"
"233","Justice_of_the_Peace","100","District"
"234","Land_Commission","100","District"
"235","Landscaping_And_Lighting_Assessment_Distric","100",""
"236","Law_Enforcement_District","100","District"
"237","Learning_Community_Coordinating_Council_District","100","District"
"238","Levee_District","100","District"
"239","Levee_Reconstruction_Assesment_District","100","District"
"240","Library_District","100","District"
"241","Library_Services_District","100","District"
"242","Library_SubDistrict","100","District"
"243","Lighting_District","100","District"
"244","Local_Hospital_District","100","District"
"245","Local_Park_District","100","District"
"246","Maintenance_District","100","District"
"247","Master_Plan_District","100","District"
"248","Memorial_District","100","District"
"249","Metro_Service_District","100","District"
"250","Metro_Service_Subdistrict","100","District"
"251","Metro_Transit_District","100","District"
"252","Metropolitan_Water_District","100","District"
"253","Middle_School_District","100","District"
"254","Mosquito_Abatement_District","100","District"
"255","Mountain_Water_District","100","District"
"256","Multi_township_Assessor","100",""
"257","Municipal_Advisory_Council_District","100","District"
"258","Municipal_Court_District","100","District"
"259","Municipal_Utility_District","100","District"
"260","Municipal_Utility_SubDistrict","100","District"
"261","Municipal_Water_District","100","District"
"262","Municipal_Water_SubDistrict","100","District"
"263","Museum_District","100","District"
"264","Northeast_Soil_and_Water_District","100","District"
"265","Open_Space_District","100","District"
"266","Open_Space_SubDistrict","100","District"
"267","Other","100","District"
"268","Paramedic_District","100","District"
"269","Park_Commissioner_District","100","District"
"270","Park_District","100","District"
"271","Park_SubDistrict","100","District"
"272","Planning_Area_District","100","District"
"273","Police_District","100","District"
"274","Port_District","100","District"
"275","Port_SubDistrict","100","District"
"276","Power_District","100","District"
"277","Proposed_City","100","District"
"278","Proposed_City_Commissioner_District","100","District"
"279","Proposed_Community_College","100","District"
"280","Proposed_District","100","District"
"281","Proposed_Elementary_School_District","100","District"
"282","Proposed_Fire_District","100","District"
"283","Proposed_Unified_School_District","100","District"
"284","Public_Airport_District","100","District"
"285","Public_Regulation_Commission","100","District"
"286","Public_Service_Commission_District","100","District"
"287","Public_Utility_District","100","District"
"288","Public_Utility_SubDistrict","100","District"
"289","Rapid_Transit_District","100",""
"290","Rapid_Transit_SubDistrict","100","District"
"291","Reclamation_District","100","District"
"292","Recreation_District","100","District"
"293","Recreational_SubDistrict","100","District"
"294","Regional_Office_of_Education_District","100","District"
"295","Republican_Area","100","District"
"296","Republican_Convention_Member","100","District"
"297","Resort_Improvement_District","100","District"
"298","Resource_Conservation_District","100","District"
"299","River_Water_District","100","District"
"300","Road_Maintenance_District","100","District"
"301","Rural_Service_District","100","District"
"302","Sanitary_District","100","District"
"303","Sanitary_SubDistrict","100","District"
"304","School_Board_District","100","District"
"305","School_District","100","District"
"306","School_District_Vocational","100",""
"307","School_Facilities_Improvement_District","100","District"
"308","School_Subdistrict","100","District"
"309","Service_Area_District","100","District"
"310","Sewer_District","100","District"
"311","Sewer_Maintenance_District","100","District"
"312","Sewer_SubDistrict","100","District"
"313","Snow_Removal_District","100","District"
"314","Soil_And_Water_District","100",""
"315","Soil_And_Water_District_At_Large","100",""
"316","Special_Reporting_District","100","District"
"317","Special_Tax_District","100","District"
"318","State_Board_of_Equalization","100","District"
"319","Storm_Water_District","100","District"
"320","Street_Lighting_District","100","District"
"321","Superintendent_of_Schools_District","100","District"
"322","Transit_District","100","District"
"323","Transit_SubDistrict","100","District"
"324","TriCity_Service_District","100","District"
"325","TV_Translator_District","100","District"
"326","Unified_School_District","100","District"
"327","Unified_School_SubDistrict","100","District"
"328","Unincorporated_District","100","District"
"329","Unincorporated_Park_District","100","District"
"330","Unprotected_Fire_District","100","District"
"331","Ute_Creek_Soil_District","100","District"
"332","Vector_Control_District","100","District"
"333","Vote_By_Mail_Area","100","District"
"334","Wastewater_District","100","District"
"335","Water_Agency","100","District"
"336","Water_Agency_SubDistrict","100","District"
"337","Water_Conservation_District","100","District"
"338","Water_Conservation_SubDistrict","100","District"
"339","Water_Control__Water_Conservation","100",""
"340","Water_Control__Water_Conservation_SubDistrict","100",""
"341","Water_District","100","District"
"342","Water_Public_Utility_District","100","District"
"343","Water_Public_Utility_Subdistrict","100","District"
"344","Water_Replacement_District","100","District"
"345","Water_Replacement_SubDistrict","100","District"
"346","Water_SubDistrict","100","District"
"347","Weed_District","100","District"
"348","CommercialData_BookBuyerInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"349","CommercialData_ComputerOwnerInHome","1","Yes or unknown"
"350","CommercialData_CulinaryInterestMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"351","CommercialData_DoItYourselferMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"352","CommercialData_DonatesEnvironmentCauseInHome","1","Yes or unknown"
"353","CommercialData_DonatesToCharityInHome","1","Yes or unknown"
"354","CommercialData_DwellingType","100","Large mult wo/Apt number, POBOX, Single Family Dwelling Unit, Small Mult or large mult w/apt number"
"355","CommercialData_DwellingUnitSize","100","Single Family Dwelling Unit, Duplex, Triplex, 4, 5-9, 10-19, 20-49, 50-100, 101+"
"356","CommercialData_Education","100","Based on modeled and self-reported data. Possible values are: Unknown, HS Diploma - Extremely Likely, Some College -Extremely Likely, Bach Degree - Extremely Likely, Grad Degree - Extremely Likely, Less than HS Diploma - Ex Like, HS Diploma - Likely, Some College - Likely, Bach Degree - Likely, Grad Degree - Likely, Less than HS Diploma - Likely"
"357","CommercialData_EstHomeValue","10","Modeled commercial data"
"358","CommercialData_EstimatedHHIncome","100",""
"359","CommercialData_EstimatedHHIncomeAmount","10",""
"360","CommercialData_EstimatedAreaMedianHHIncome","10",""
"361","CommercialData_FamilyMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"362","CommercialData_FemaleOrientedMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"363","CommercialData_FinancialMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"364","CommercialData_GardeningMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"365","CommercialData_HealthFitnessMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"366","CommercialData_HHComposition","100","1 adult Female, 1 adult Female + Children, 1 adult Male, 1 adult Male & 1 adult Female, 1 adult Male & 1 adult Female + Children, 1 adult Male + Children, 2 or more adult Females, 2 or more adult Females + children, 2 or more adult Males, 2 or more adult Males + children, Unknown"
"367","CommercialData_HomePurchaseDate","10","Commercial data "
"368","CommercialData_HomePurchasePrice","10","Commercial data "
"369","CommercialData_ISPSA","1",""Index of Social Position for Small Areas" is a mix of education and income information to suggest where a voter lies on a scale of 0 to 9 on the "social-economic ladder"."
"370","CommercialData_LandValue","10","Commercial data"
"371","CommercialData_LikelyUnion","3","modeled based on known occupations that are highly unionized"
"372","CommercialData_AreaMedianEducationYears","5",""
"373","CommercialData_AreaMedianHousingValue","10",""
"374","CommercialData_MosaicZ4","100","Experian lifestyle indicator.  See MosaicZ4 tab."
"375","CommercialData_MosaicZ4Global","100","CommercialData_MosaicZ4Global"
"376","CommercialData_Occupation","100","Limited to about 12% to 15% of all voters, these are actual self-reported occupations most being state licensed occupations; See Occupation tab"
"377","CommercialData_OccupationGroup","100","CommercialData_OccupationGroup"
"378","CommercialData_OccupationIndustry","50","Listed major occupational categories"
"379","CommercialData_AreaPcntHHMarriedCoupleNoChild","6",""
"380","CommercialData_AreaPcntHHMarriedCoupleWithChild","6",""
"381","CommercialData_AreaPcntHHSpanishSpeaking","6",""
"382","CommercialData_AreaPcntHHWithChildren","6",""
"383","CommercialData_PoliticalContributerInHome","1","Single digit number of contributions made to political causes by members of this household"
"384","CommercialData_PresenceOfChildrenCode","100","Descriptive field or blank showing probability of presence of children; Possible values are: Known Data, Modeled Likely to have a child, Modeled Not as Likely to have a child, Not Likely to have a child"
"385","CommercialData_PresenceOfPremCredCrdInHome","1","Yes or unknown"
"386","CommercialData_PropertyType","100","Agricultural, Apartment, Commercial Condo, Condominium, Duplex, Mobil Home, Residential, Unknown"
"387","CommercialData_ReligiousContributorInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"388","CommercialData_ReligiousMagazineInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"389","CommercialData_StateIncomeDecile","1","Census Data descriptive field identifying the decile range of state income for the area in which the voter lives.  0 thru 9, with 9 being highest."
"390","CommercialData_UpscaleBuyerInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"391","CommercialData_UpscaleFemaleBuyerInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"392","CommercialData_UpscaleMaleBuyerInHome","1","Integer 0 to 9 for number of purchases from this type of publication"
"393","CommercialDataLL_Business_Owner","3","Yes/null"
"394","CommercialDataLL_Buyer_Antiques_In_Household","3","Yes/null"
"395","CommercialDataLL_Buyer_Art_In_Household","3","Yes/null"
"396","CommercialDataLL_Collector_Antiques_In_Household","3","Yes/null"
"397","CommercialDataLL_Collector_Arts_In_Household","3","Yes/null"
"398","CommercialDataLL_Collector_Avid_In_Household","3","Yes/null"
"399","CommercialDataLL_Collector_Coins_In_Household","3","Yes/null"
"400","CommercialDataLL_Collector_General_In_Household","3","Yes/null"
"401","CommercialDataLL_Collector_Military_In_Household","3","Yes/null"
"402","CommercialDataLL_Collector_Sports_In_Household","3","Yes/null"
"403","CommercialDataLL_Collector_Stamps_In_Household","3","Yes/null"
"404","CommercialDataLL_Donates_to_Animal_Welfare","3","Yes/null"
"405","CommercialDataLL_Donates_to_Arts_and_Culture","3","Yes/null"
"406","CommercialDataLL_Donates_to_Childrens_Causes","3","Yes/null"
"407","CommercialDataLL_Donates_to_Conservative_Causes","3","Yes/null"
"408","CommercialDataLL_Donates_to_Healthcare","3","Yes/null"
"409","CommercialDataLL_Donates_to_International_Aid_Causes","3","Yes/null"
"410","CommercialDataLL_Donates_to_Liberal_Causes","3","Yes/null"
"411","CommercialDataLL_Donates_to_Local_Community","3","Yes/null"
"412","CommercialDataLL_Donates_to_Veterans_Causes","3","Yes/null"
"413","CommercialDataLL_Donates_to_Wildlife_Preservation","3","Yes/null"
"414","CommercialDataLL_Gun_Owner","3","Based on gun registrations and subscriptions to gun/hunting magazines; Yes or null"
"415","CommercialDataLL_Gun_Owner_Concealed_Permit","3",""
"416","CommercialDataLL_Hispanic_Country_Origin","50","Listed countries"
"417","CommercialDataLL_Home_Office","3","Yes/null"
"418","CommercialDataLL_Home_Owner_Or_Renter","20","Likely Homeowner/Likely Renter/null"
"419","CommercialDataLL_Household_Primary_Language","50","Listed languages"
"420","CommercialDataLL_Interest_in_Auto_Work_In_Household","3","Yes/null"
"421","CommercialDataLL_Interest_in_Automotive_Parts_Accessories_In_Household","3","Yes/null"
"422","CommercialDataLL_Interest_in_Aviation_In_Household","3","Yes/null"
"423","CommercialDataLL_Interest_in_BoardGames_Puzzles_In_Household","3","Yes/null"
"424","CommercialDataLL_Interest_in_Boating_Sailing_In_Household","3","Yes/null"
"425","CommercialDataLL_Interest_in_Camping_Hiking_In_Household","3","Yes/null"
"426","CommercialDataLL_Interest_in_Cooking_General_In_Household","3","Yes/null"
"427","CommercialDataLL_Interest_in_Cooking_Gourmet_In_Household","3","Yes/null"
"428","CommercialDataLL_Interest_in_Crafts_In_Household","3","Yes/null"
"429","CommercialDataLL_Interest_in_Current_Affairs_Politics_In_Household","3","Yes/null"
"430","CommercialDataLL_Interest_in_Education_Online_In_Household","3","Yes/null"
"431","CommercialDataLL_Interest_in_Electronic_Gaming_In_Household","3","Yes/null"
"432","CommercialDataLL_Interest_in_Exercise_Aerobic_In_Household","3","Yes/null"
"433","CommercialDataLL_Interest_in_Exercise_Health_In_Household","3","Yes/null"
"434","CommercialDataLL_Interest_in_Exercise_Running_Jogging_In_Household","3","Yes/null"
"435","CommercialDataLL_Interest_in_Exercise_Walking_In_Household","3","Yes/null"
"436","CommercialDataLL_Interest_in_Fishing_In_Household","3","Yes/null"
"437","CommercialDataLL_Interest_in_Food_Wines_In_Household","3","Yes/null"
"438","CommercialDataLL_Interest_in_Foods_Natural_In_Household","3","Yes/null"
"439","CommercialDataLL_Interest_in_Gaming_Casino_In_Household","3","Yes/null"
"440","CommercialDataLL_Interest_in_Gardening_In_Household","3","Yes/null"
"441","CommercialDataLL_Interest_in_Golf_In_Household","3","Yes/null"
"442","CommercialDataLL_Interest_in_History_Military_In_Household","3","Yes/null"
"443","CommercialDataLL_Interest_in_Home_Furnishings_In_Household","3","Yes/null"
"444","CommercialDataLL_Interest_in_Home_Improvement_In_Household","3","Yes/null"
"445","CommercialDataLL_Interest_in_Home_Repair_In_Household","3","Yes/null"
"446","CommercialDataLL_Interest_in_House_Plants_In_Household","3","Yes/null"
"447","CommercialDataLL_Interest_in_Hunting_In_Household","3","Yes/null"
"448","CommercialDataLL_Interest_in_Motorcycling_In_Household","3","Yes/null"
"449","CommercialDataLL_Interest_in_Musical_Instruments_In_Household","3","Yes/null"
"450","CommercialDataLL_Interest_in_Nascar_In_Household","3","Yes/null"
"451","CommercialDataLL_Interest_in_Photography_In_Household","3","Yes/null"
"452","CommercialDataLL_Interest_in_Photography_Video_In_Household","3","Yes/null"
"453","CommercialDataLL_Interest_in_Religious_Inspirational_In_Household","3","Yes/null"
"454","CommercialDataLL_Interest_in_Science_Space_In_Household","3","Yes/null"
"455","CommercialDataLL_Interest_in_Scuba_Diving_In_Household","3","Yes/null"
"456","CommercialDataLL_Interest_in_Sewing_Knitting_In_Household","3","Yes/null"
"457","CommercialDataLL_Interest_in_Shooting_In_Household","3","Yes/null"
"458","CommercialDataLL_Interest_in_Smoking_In_Household","3","Yes/null"
"459","CommercialDataLL_Interest_in_Snow_Skiing_In_Household","3","Yes/null"
"460","CommercialDataLL_Interest_in_SpectatorSports_Auto_Racing_In_Household","3","Yes/null"
"461","CommercialDataLL_Interest_in_SpectatorSports_Baseball_In_Household","3","Yes/null"
"462","CommercialDataLL_Interest_in_SpectatorSports_Basketball_In_Household","3","Yes/null"
"463","CommercialDataLL_Interest_in_SpectatorSports_Football_In_Household","3","Yes/null"
"464","CommercialDataLL_Interest_in_SpectatorSports_Hockey_In_Household","3","Yes/null"
"465","CommercialDataLL_Interest_in_SpectatorSports_on_TV_In_Household","3","Yes/null"
"466","CommercialDataLL_Interest_in_SpectatorSports_Soccer_In_Household","3","Yes/null"
"467","CommercialDataLL_Interest_in_Sports_Leisure_In_Household","3","Yes/null"
"468","CommercialDataLL_Interest_in_Sweepstakes_Contests_In_Household","3","Yes/null"
"469","CommercialDataLL_Interest_in_Tennis_In_Household","3","Yes/null"
"470","CommercialDataLL_Interest_in_the_Arts_In_Household","3","Yes/null"
"471","CommercialDataLL_Interest_in_Theater_Performing_Arts_In_Household","3","Yes/null"
"472","CommercialDataLL_Interest_in_Travel_Cruise_In_Household","3","Yes/null"
"473","CommercialDataLL_Interest_in_Travel_Domestic_In_Household","3","Yes/null"
"474","CommercialDataLL_Interest_in_Travel_International_In_Household","3","Yes/null"
"475","CommercialDataLL_Interest_in_Woodworking_In_Household","3","Yes/null"
"476","CommercialDataLL_Investor","3","Yes/null"
"477","CommercialDataLL_HH_Net_Worth","50",""
"478","CommercialDataLL_PetOwner_Cat","3","Yes/null"
"479","CommercialDataLL_PetOwner_Dog","3","Yes/null"
"480","CommercialDataLL_PetOwner_Horse","3","Yes/null"
"481","CommercialDataLL_PetOwner_Other","3","Yes/null"
"482","CommercialDataLL_Veteran","3","Yes or null"
"483","ElectionReturns_G08_Cnty_Margin_McCain_R","5",""
"484","ElectionReturns_G08_Cnty_Percent_McCain_R","5",""
"485","ElectionReturns_G08_Cnty_Vote_McCain_R","10",""
"486","ElectionReturns_G08_Cnty_Margin_Obama_D","5",""
"487","ElectionReturns_G08_Cnty_Percent_Obama_D","5",""
